# Experimental single-gas permeance of the CMS membrane — MEASURED
# laboratory values by I. Gargiulo (column permeance_exp_SI of
# data/results_permeation_1d_single_gas5.csv, the raw instrument table
# kept alongside as the record of origin). Supersedes the digitized
# placeholder permeation_exp_digitized_fig5.csv (agreement <= 0.5% on
# every point). Extracted 2026-08-25.
species,T_K,permeance_mol_m-2_s-1_Pa-1
H2,623,4.31e-07
H2,573,4.1e-07
H2,523,3.61e-07
H2,473,3.51e-07
H2,423,2.99e-07
N2,623,4.59e-07
N2,573,4.39e-07
N2,523,3.69e-07
N2,473,3.67e-07
N2,423,2.66e-07
NH3,623,1.89e-07
NH3,573,2e-07
NH3,523,2.57e-07
NH3,473,3e-07
NH3,423,3e-07
